be was/were
begin began
bite bit
blow blew
break broke
bring brought
build built
buy bought
catch caught
choose chose
come came
cost cost
cut cut
do did
draw drew
drink drank
drive drove
eat ate
fall fell
feel felt
fight fought
find found
fly flew
forget forgot
freeze froze
get got
give gave
go went
grow grew
hang hung
have had
hear heard
hide hid
hit hit
hold held
hurt hurt
keep kept
know knew
lead led
leave left
lend lent
let let
lie -
light lit
lose lost
make made
mean meant
meet met
pay paid
put put
read read
ride rode
ring rang
rise rose
run ran
say said
see saw
sell sold
send sent
set set
shake shook
shine shone
shoot shot
show showed
shut shut
sing sang
sink sank
sit sat
sleep slept
slide slid
speak spoke
spend spent
spin spun
spread spread
stand stood
steal stole
stick stuck
sting stung
strike struck
swear swore
sweep swept
swim swam
take took
teach taught
tear tore
tell told
think thought
throw threw
understand understood
wake woke
wear wore
win won
write wrote
